feature,importance
NEW_CREDIT_TO_ANNUITY_RATIO,4066.6
NEW_CREDIT_TO_GOODS_RATIO,2224.0
EXT_SOURCE_3,1765.4
EXT_SOURCE_1,1732.2
EXT_SOURCE_2,1689.2
AMT_ANNUITY,1368.6
DAYS_BIRTH,1324.4
DAYS_ID_PUBLISH,1043.2
BURO_MONTHS_BALANCE_MAX_MIN,1007.4
CLOSED_DAYS_CREDIT_UPDATE_MAX,1005.8
PREV_DAYS_TERMINATION_MAX,967.0
DAYS_LAST_PHONE_CHANGE,964.0
PREV_DAYS_DECISION_MAX,957.0
DAYS_EMPLOYED,936.8
ACTIVE_DAYS_CREDIT_UPDATE_MIN,932.6
AMT_CREDIT,863.0
AMT_GOODS_PRICE,855.4
DAYS_REGISTRATION,845.8
NEW_AGE_DAYS_REGISTRATION,785.2
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MEAN_MEAN,783.4
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MIN,755.2
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MEAN,737.6
CLOSED_DAYS_CREDIT_UPDATE_MIN,730.4
REGION_POPULATION_RELATIVE,712.6
APPROVED_DAYS_DECISION_MAX,707.2
ACTIVE_DAYS_CREDIT_UPDATE_MAX,646.6
AMT_REQ_CREDIT_BUREAU_YEAR,639.2
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MEAN,636.2
PREV_INSTAL_PREV_DAYS_INSTALMENT_MAX_MAX,627.6
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MAX,604.0
BURO_MONTHS_BALANCE_SIZE_SUM,590.0
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MIN_MIN,571.8
POS_NAME_CONTRACT_STATUS_Active_MEAN,571.2
PREV_HOUR_APPR_PROCESS_START_MEAN,565.0
PREV_POS_PREV_MONTHS_BALANCE_MIN_MAX,561.6
PREV_DAYS_DECISION_MEAN,554.8
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MIN,554.6
BURO_AMT_CREDIT_SUM_MIN,551.6
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MIN,549.4
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,547.4
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,545.4
