feature,importance
NEW_CREDIT_TO_ANNUITY_RATIO,3326.2
EXT_SOURCE_3,2883.8
EXT_SOURCE_2,2441.2
EXT_SOURCE_1,2379.2
DAYS_BIRTH,1930.2
NEW_CREDIT_TO_GOODS_RATIO,1572.2
DAYS_LAST_PHONE_CHANGE,1437.4
DAYS_EMPLOYED,1432.4
DAYS_ID_PUBLISH,1421.8
AMT_ANNUITY,1368.6
DAYS_REGISTRATION,1276.8
NEW_AGE_DAYS_REGISTRATION,1173.2
AMT_GOODS_PRICE,1014.8
REGION_POPULATION_RELATIVE,1000.2
AMT_CREDIT,852.2
NEW_INC_PER_CHLD,827.2
OWN_CAR_AGE,779.6
AMT_INCOME_TOTAL,741.8
AMT_REQ_CREDIT_BUREAU_YEAR,694.2
LANDAREA_AVG,661.6
BASEMENTAREA_AVG,598.8
TOTALAREA_MODE,577.0
HOUR_APPR_PROCESS_START,556.4
CODE_GENDER_M,408.0
NONLIVINGAREA_AVG,336.6
APARTMENTS_AVG,327.2
NEW_DEF/OBS_60,313.0
APARTMENTS_MEDI,309.8
NONLIVINGAREA_MEDI,307.6
LIVINGAREA_AVG,301.6
COMMONAREA_MEDI,298.2
LIVINGAREA_MEDI,298.0
COMMONAREA_AVG,266.6
YEARS_BUILD_AVG,247.2
AMT_REQ_CREDIT_BUREAU_QRT,246.0
YEARS_BUILD_MEDI,234.6
LIVINGAPARTMENTS_AVG,229.4
OBS_30_CNT_SOCIAL_CIRCLE,207.8
LIVINGAPARTMENTS_MEDI,204.2
NEW_NUM_DOCS,200.0
ENTRANCES_AVG,194.4
NAME_FAMILY_STATUS_Married,193.6
NAME_EDUCATION_TYPE_Higher education,193.4
FLAG_WORK_PHONE,189.8
REGION_RATING_CLIENT_W_CITY,182.2
OBS_60_CNT_SOCIAL_CIRCLE,168.2
FLAG_DOCUMENT_3,167.8
FLOORSMAX_AVG,151.4
FLOORSMIN_AVG,146.8
NAME_INCOME_TYPE_Working,140.2
DEF_30_CNT_SOCIAL_CIRCLE,139.4
AMT_REQ_CREDIT_BUREAU_MON,133.0
NONLIVINGAPARTMENTS_AVG,132.2
NAME_EDUCATION_TYPE_Secondary / secondary special,130.2
REG_CITY_NOT_LIVE_CITY,122.0
ORGANIZATION_TYPE_Self-employed,119.2
NEW_60/30_OBS,115.4
ENTRANCES_MEDI,115.4
ELEVATORS_AVG,97.2
ORGANIZATION_TYPE_Business Entity Type 3,86.6
FLAG_OWN_REALTY_Y,83.0
CNT_FAM_MEMBERS,81.0
FLOORSMIN_MEDI,78.6
NONLIVINGAPARTMENTS_MEDI,74.2
NEW_60/30_DEF,71.8
CNT_CHILDREN,71.6
FLAG_PHONE,71.2
OCCUPATION_TYPE_Drivers,70.4
OCCUPATION_TYPE_Laborers,67.0
WEEKDAY_APPR_PROCESS_START_MONDAY,64.2
FLOORSMAX_MEDI,62.8
ORGANIZATION_TYPE_Construction,60.4
OCCUPATION_TYPE_Core staff,59.2
NAME_HOUSING_TYPE_House / apartment,59.0
ORGANIZATION_TYPE_Transport: type 3,56.0
"WALLSMATERIAL_MODE_Stone, brick",55.4
WEEKDAY_APPR_PROCESS_START_TUESDAY,52.4
ORGANIZATION_TYPE_Military,52.4
REGION_RATING_CLIENT,52.2
NEW_CNT_PARENT_MEMBERS,51.6
ELEVATORS_MEDI,51.0
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,50.2
LIVE_CITY_NOT_WORK_CITY,48.2
ORGANIZATION_TYPE_Industry: type 9,47.6
AMT_REQ_CREDIT_BUREAU_WEEK,45.4
NAME_TYPE_SUITE_Unaccompanied,44.2
REG_CITY_NOT_WORK_CITY,43.2
WEEKDAY_APPR_PROCESS_START_SATURDAY,42.0
WALLSMATERIAL_MODE_Panel,40.2
NAME_FAMILY_STATUS_Single / not married,39.2
ORGANIZATION_TYPE_School,38.6
DEF_60_CNT_SOCIAL_CIRCLE,37.4
OCCUPATION_TYPE_Sales staff,36.8
NAME_HOUSING_TYPE_Office apartment,36.2
OCCUPATION_TYPE_High skill tech staff,35.8
WEEKDAY_APPR_PROCESS_START_SUNDAY,34.4
ORGANIZATION_TYPE_Security Ministries,30.4
ORGANIZATION_TYPE_Bank,30.0
NAME_INCOME_TYPE_State servant,29.4
AMT_REQ_CREDIT_BUREAU_DAY,29.2
WEEKDAY_APPR_PROCESS_START_THURSDAY,29.0
NAME_HOUSING_TYPE_Municipal apartment,28.4
NAME_INCOME_TYPE_Commercial associate,28.2
NAME_EDUCATION_TYPE_Lower secondary,27.8
ORGANIZATION_TYPE_Police,26.2
"NAME_TYPE_SUITE_Spouse, partner",24.2
FLAG_DOCUMENT_8,21.2
ORGANIZATION_TYPE_Kindergarten,20.2
NAME_TYPE_SUITE_Family,20.2
REG_REGION_NOT_WORK_REGION,20.0
FONDKAPREMONT_MODE_reg oper spec account,19.0
NAME_FAMILY_STATUS_Separated,18.8
NAME_FAMILY_STATUS_Widow,18.6
OCCUPATION_TYPE_Medicine staff,18.4
OCCUPATION_TYPE_Private service staff,18.4
NAME_HOUSING_TYPE_With parents,18.2
FLAG_EMAIL,18.2
FONDKAPREMONT_MODE_org spec account,17.0
ORGANIZATION_TYPE_Trade: type 3,16.8
ORGANIZATION_TYPE_Hotel,16.4
ORGANIZATION_TYPE_Medicine,16.2
WALLSMATERIAL_MODE_Others,16.0
NAME_EDUCATION_TYPE_Incomplete higher,15.6
OCCUPATION_TYPE_Low-skill Laborers,14.6
FLAG_OWN_CAR_Y,14.6
ORGANIZATION_TYPE_Government,13.8
OCCUPATION_TYPE_Security staff,13.8
LIVE_REGION_NOT_WORK_REGION,13.6
NAME_TYPE_SUITE_Other_B,13.6
REG_REGION_NOT_LIVE_REGION,13.2
FONDKAPREMONT_MODE_reg oper account,12.8
FLAG_DOCUMENT_6,12.6
ORGANIZATION_TYPE_Trade: type 7,12.2
OCCUPATION_TYPE_Cleaning staff,12.2
OCCUPATION_TYPE_Managers,11.4
HOUSETYPE_MODE_specific housing,11.2
NAME_HOUSING_TYPE_Rented apartment,11.0
FLAG_DOCUMENT_5,10.8
ORGANIZATION_TYPE_Business Entity Type 1,10.4
ORGANIZATION_TYPE_Trade: type 2,9.0
ORGANIZATION_TYPE_Industry: type 3,9.0
NAME_INCOME_TYPE_Pensioner,9.0
FLAG_DOCUMENT_11,9.0
ORGANIZATION_TYPE_University,8.6
ORGANIZATION_TYPE_Transport: type 4,8.6
AMT_REQ_CREDIT_BUREAU_HOUR,8.6
ORGANIZATION_TYPE_Other,8.0
OCCUPATION_TYPE_Secretaries,7.8
ORGANIZATION_TYPE_Restaurant,6.8
ORGANIZATION_TYPE_Postal,6.6
OCCUPATION_TYPE_Waiters/barmen staff,6.4
OCCUPATION_TYPE_Cooking staff,5.8
WALLSMATERIAL_MODE_Monolithic,5.4
ORGANIZATION_TYPE_Business Entity Type 2,4.6
FLAG_DOCUMENT_18,4.4
ORGANIZATION_TYPE_Industry: type 1,4.2
WALLSMATERIAL_MODE_Mixed,3.6
NAME_TYPE_SUITE_Other_A,3.2
ORGANIZATION_TYPE_Services,3.0
EMERGENCYSTATE_MODE_Yes,2.8
ORGANIZATION_TYPE_Housing,2.6
ORGANIZATION_TYPE_Industry: type 7,2.2
ORGANIZATION_TYPE_Industry: type 4,2.2
ORGANIZATION_TYPE_Security,2.0
ORGANIZATION_TYPE_Electricity,1.8
FLAG_EMP_PHONE,1.8
WALLSMATERIAL_MODE_Wooden,1.8
FLAG_DOCUMENT_9,1.0
HOUSETYPE_MODE_terraced house,0.8
ORGANIZATION_TYPE_Industry: type 11,0.2
ORGANIZATION_TYPE_Agriculture,0.2
ORGANIZATION_TYPE_Industry: type 10,0.0
ORGANIZATION_TYPE_Cleaning,0.0
FLAG_MOBIL,0.0
NAME_TYPE_SUITE_Group of people,0.0
ORGANIZATION_TYPE_Culture,0.0
FLAG_DOCUMENT_7,0.0
ORGANIZATION_TYPE_Emergency,0.0
OCCUPATION_TYPE_Realty agents,0.0
CODE_GENDER_XNA,0.0
FLAG_DOCUMENT_4,0.0
FLAG_CONT_MOBILE,0.0
ORGANIZATION_TYPE_Legal Services,0.0
ORGANIZATION_TYPE_Industry: type 12,0.0
ORGANIZATION_TYPE_XNA,0.0
NAME_FAMILY_STATUS_Unknown,0.0
ORGANIZATION_TYPE_Insurance,0.0
ORGANIZATION_TYPE_Mobile,0.0
NAME_INCOME_TYPE_Unemployed,0.0
NAME_INCOME_TYPE_Maternity leave,0.0
OCCUPATION_TYPE_IT staff,0.0
ORGANIZATION_TYPE_Realtor,0.0
ORGANIZATION_TYPE_Religion,0.0
ORGANIZATION_TYPE_Industry: type 8,0.0
ORGANIZATION_TYPE_Industry: type 6,0.0
ORGANIZATION_TYPE_Telecom,0.0
NAME_INCOME_TYPE_Student,0.0
ORGANIZATION_TYPE_Trade: type 1,0.0
ORGANIZATION_TYPE_Industry: type 5,0.0
ORGANIZATION_TYPE_Trade: type 4,0.0
ORGANIZATION_TYPE_Trade: type 5,0.0
ORGANIZATION_TYPE_Trade: type 6,0.0
ORGANIZATION_TYPE_Industry: type 2,0.0
ORGANIZATION_TYPE_Transport: type 1,0.0
ORGANIZATION_TYPE_Transport: type 2,0.0
ORGANIZATION_TYPE_Industry: type 13,0.0
OCCUPATION_TYPE_HR staff,0.0
