feature,importance
EXT_SOURCE_2,1351.857142857143
EXT_SOURCE_1,1319.857142857143
EXT_SOURCE_3,1184.4285714285713
NEW_CREDIT_TO_ANNUITY_RATIO,1067.5714285714287
DAYS_BIRTH,839.5714285714286
AMT_ANNUITY,745.5714285714286
NEW_CREDIT_TO_GOODS_RATIO,730.8571428571429
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MEAN,544.5714285714286
DAYS_EMPLOYED,500.57142857142856
DAYS_ID_PUBLISH,464.2857142857143
PREV_DAYS_TERMINATION_MAX,402.57142857142856
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MEAN,374.85714285714283
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,363.57142857142856
DAYS_REGISTRATION,360.85714285714283
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,343.2857142857143
REGION_POPULATION_RELATIVE,338.85714285714283
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MEAN,337.2857142857143
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MIN,333.57142857142856
DAYS_LAST_PHONE_CHANGE,323.0
PREV_NEW_CREDIT_TO_GOODS_RATIO_MEAN,320.7142857142857
AMT_GOODS_PRICE,317.14285714285717
AMT_CREDIT,315.57142857142856
CODE_GENDER_M,304.2857142857143
OWN_CAR_AGE,304.0
NEW_AGE_DAYS_REGISTRATION,298.14285714285717
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,285.7142857142857
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MAX,285.14285714285717
PREV_INSTAL_PREV_DAYS_ENTRY_PAYMENT_MAX_MAX,283.0
PREV_CNT_PAYMENT_MEAN,282.57142857142856
CLOSED_DAYS_CREDIT_UPDATE_MAX,273.57142857142856
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MEAN_MEAN,266.42857142857144
PREV_INSTAL_PREV_AMT_PAYMENT_MEAN_MAX,263.7142857142857
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MEAN,251.42857142857142
PREV_NEW_DAYS_LAST_DUE_DIFF_MEAN,237.57142857142858
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MIN_MIN,237.14285714285714
PREV_NEW_CREDIT_TO_GOODS_RATIO_MAX,236.57142857142858
CLOSED_DAYS_CREDIT_MAX,229.0
POS_MONTHS_BALANCE_MEAN,228.71428571428572
