feature,importance_MEAN,importance_VAR
NEW_CREDIT_TO_ANNUITY_RATIO,852.8,13655.200000000003
EXT_SOURCE_3,753.4,13021.800000000003
EXT_SOURCE_1,693.2,7987.199999999997
EXT_SOURCE_2,638.2,6141.699999999998
DAYS_BIRTH,597.8,7485.700000000003
AMT_ANNUITY,499.6,7279.299999999999
DAYS_EMPLOYED,346.6,3061.799999999999
PREV_DAYS_TERMINATION_MAX,335.2,3811.7000000000007
REGION_POPULATION_RELATIVE,329.8,2017.7
DAYS_ID_PUBLISH,323.0,3300.0
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MEAN,295.4,3515.3000000000006
TOTALAREA_MODE,284.4,2470.3000000000006
CLOSED_DAYS_CREDIT_MAX,270.2,2308.7000000000003
CLOSED_DAYS_CREDIT_UPDATE_MAX,267.6,5223.299999999999
DAYS_REGISTRATION,267.0,4379.5
NEW_CREDIT_TO_GOODS_RATIO,266.4,1434.3000000000004
AMT_GOODS_PRICE,262.8,1951.6999999999998
PREV_INSTAL_PREV_DAYS_ENTRY_PAYMENT_MAX_MAX,249.8,2124.7
PREV_NEW_DAYS_FIRST_AND_LAST_DUE_DIFF_MEAN,247.8,2263.7
DAYS_LAST_PHONE_CHANGE,246.8,4131.7
AMT_CREDIT,245.2,1685.2000000000003
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MIN,244.8,1672.6999999999998
APPROVED_AMT_CREDIT_MAX,233.8,1314.6999999999998
OWN_CAR_AGE,231.2,1096.7000000000003
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MIN_MIN,227.0,4823.5
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_VAR,224.8,3929.2
PREV_INSTAL_PREV_AMT_PAYMENT_MEAN_MAX,222.8,1919.1999999999998
ACTIVE_AMT_CREDIT_SUM_SUM,222.0,3402.0
NEW_AGE_DAYS_REGISTRATION,221.8,3697.2
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MAX,217.8,1430.6999999999998
PREV_INSTAL_PREV_NEW_PAYMENT_DIFF_MEAN_MEAN,217.2,1481.2000000000003
POS_MONTHS_BALANCE_MEAN,216.8,2372.2
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MEAN,214.4,2374.2999999999997
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MIN,208.8,5046.7
CCCNT_DRAWINGS_CURRENT_VAR,206.0,1065.5
PREV_SELLERPLACE_AREA_MEAN,205.6,2848.3
PREV_NEW_CREDIT_SELLERPLACE_RATE_MAX,200.8,2909.7
PREV_AMT_ANNUITY_MEAN,198.0,1045.5
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MEAN,197.2,3453.7000000000007
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MEAN,194.8,1122.6999999999998
PREV_NEW_CREDIT_TO_GOODS_RATIO_MEAN,192.8,978.1999999999999
AMT_INCOME_TOTAL,192.6,1162.3000000000002
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MEAN_MEAN,192.4,3137.2999999999997
BURO_DAYS_CREDIT_MEAN,191.8,2792.2
CLOSED_DAYS_CREDIT_VAR,191.2,1474.7000000000003
APPROVED_AMT_ANNUITY_MEAN,190.0,467.0
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,190.0,1177.5
CCNEW_AMT_DRAWINGS_DIFF_W_PAYMENT_CURRENT_MEAN,189.6,551.3000000000001
CCCNT_DRAWINGS_ATM_CURRENT_MEAN,187.4,1009.3
PREV_NEW_CREDIT_TO_ANNUITY_RATIO_MAX,187.2,1322.2000000000003
PREV_CNT_PAYMENT_MEAN,187.2,540.7
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MEAN,186.2,1138.7000000000003
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MAX_MAX,185.6,1340.3000000000002
PREV_HOUR_APPR_PROCESS_START_MEAN,185.0,2172.0
APPROVED_SELLERPLACE_AREA_MAX,185.0,3738.5
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,183.8,4273.7
PREV_DAYS_DECISION_MEAN,183.6,1434.8000000000002
BURO_AMT_CREDIT_SUM_MIN,183.4,1696.3
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MIN,180.0,1455.5
CLOSED_AMT_CREDIT_SUM_SUM,179.4,1392.3
ACTIVE_AMT_CREDIT_SUM_MAX,178.8,1397.1999999999996
PREV_INSTAL_PREV_AMT_PAYMENT_MEAN_MEAN,175.4,2900.3
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MEAN,171.6,778.8000000000001
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MAX,171.4,595.2999999999998
CLOSED_AMT_CREDIT_SUM_MEAN,171.2,2241.7000000000003
ACTIVE_AMT_CREDIT_SUM_MIN,170.8,2227.7
BURO_DAYS_CREDIT_VAR,170.4,3318.2999999999997
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_VAR,167.4,2372.8
PREV_INSTAL_PREV_DAYS_INSTALMENT_MAX_MAX,167.0,2081.0
ACTIVE_DAYS_CREDIT_MAX,166.4,1283.3
BURO_AMT_CREDIT_SUM_MAX,166.2,1056.7
CODE_GENDER_M,164.6,8.800000000000002
PREV_DAYS_DECISION_MAX,163.4,4352.799999999999
APPROVED_DAYS_DECISION_MAX,161.2,1486.1999999999998
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,160.4,540.7999999999998
PREV_POS_PREV_MONTHS_BALANCE_SIZE_MEAN,159.8,2316.7
APPROVED_AMT_ANNUITY_MAX,158.4,2102.3
PREV_INSTAL_PREV_NEW_PAYMENT_PERC_MEAN_MEAN,157.8,935.1999999999998
APPROVED_AMT_DOWN_PAYMENT_MAX,156.0,1675.0
NEW_INC_PER_CHLD,155.4,2598.7999999999997
PREV_NEW_CREDIT_TO_ANNUITY_RATIO_MEAN,155.0,2650.0
APPROVED_NEW_CREDIT_SELLERPLACE_RATE_MIN,154.6,1387.8000000000002
PREV_NEW_CREDIT_TO_GOODS_RATIO_MAX,154.4,1641.3
PREV_NEW_POS_PREV_INSTALMENT_SPEED_MAX,153.0,2187.0
BURO_AMT_CREDIT_MAX_OVERDUE_MAX,152.2,335.20000000000005
CLOSED_AMT_CREDIT_SUM_MIN,150.6,1874.8000000000002
BURO_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MEAN,150.0,716.4999999999999
ACTIVE_AMT_CREDIT_SUM_MEAN,148.6,1141.3
PREV_RATE_DOWN_PAYMENT_MEAN,147.2,2087.7000000000003
BURO_DAYS_CREDIT_MAX,146.0,533.4999999999999
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,144.4,890.3
PREV_DAYS_DECISION_MIN,143.8,576.6999999999998
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_DIFF_MIN,143.2,611.2000000000002
PREV_NEW_DAYS_LAST_DUE_DIFF_MEAN,141.4,2904.2999999999997
CLOSED_AMT_CREDIT_SUM_MAX,141.2,923.2000000000003
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,140.6,725.8
PREV_POS_PREV_MONTHS_BALANCE_SIZE_MAX,139.2,1423.7000000000003
PREV_INSTAL_PREV_NEW_DAYS_PAYMENT_DIFF_MIN_MAX,138.6,1598.3000000000002
APPROVED_DAYS_DECISION_MIN,137.8,442.2
POS_NAME_CONTRACT_STATUS_Active_MEAN,137.6,1521.3000000000002
APPROVED_HOUR_APPR_PROCESS_START_MEAN,137.2,753.7000000000002
PREV_DAYS_TERMINATION_MEAN,136.4,1924.3
NEW_DEF/OBS_30,136.0,556.5
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_DEBT_AMT_CREDIT_SUM_RATIO_MIN,135.4,845.8
PREV_DAYS_TERMINATION_MIN,134.4,2654.7999999999997
APPROVED_DAYS_DECISION_MEAN,130.2,1077.2000000000003
BURO_AMT_CREDIT_SUM_MEAN,129.6,1144.3000000000002
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MIN,126.8,1502.7
PREV_NAME_YIELD_GROUP_high_MEAN,126.0,1012.0
APPROVED_NEW_CREDIT_SELLERPLACE_RATE_MAX,125.8,1370.2
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_VAR,125.4,954.8
ACTIVE_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_CREDIT_ENDDATE_DIFF_MEAN,125.0,157.5
ACTIVE_AMT_CREDIT_SUM_DEBT_MIN,124.6,1077.3000000000002
PREV_AMT_DOWN_PAYMENT_MEAN,122.8,1152.7
POS_NAME_CONTRACT_STATUS_Completed_MEAN,115.8,898.7
BURO_AMT_CREDIT_SUM_SUM,115.6,504.30000000000007
APPROVED_NEW_CREDIT_TO_GOODS_RATIO_MAX,115.2,2578.7
NAME_FAMILY_STATUS_Married,115.2,40.69999999999999
PREV_INSTAL_PREV_NEW_PAYMENT_PERC_MIN_MEAN,113.8,983.7
