feature,importance
EXT_SOURCE_3,2422.0
EXT_SOURCE_1,2206.2
EXT_SOURCE_2,2131.0
DAYS_BIRTH,1919.0
AMT_ANNUITY,1553.8
AMT_CREDIT,1517.4
AMT_GOODS_PRICE,1286.8
DAYS_EMPLOYED,1236.2
DAYS_ID_PUBLISH,1221.4
DAYS_LAST_PHONE_CHANGE,1105.8
DAYS_REGISTRATION,1086.8
REGION_POPULATION_RELATIVE,773.0
AMT_INCOME_TOTAL,727.4
OWN_CAR_AGE,718.2
AMT_REQ_CREDIT_BUREAU_YEAR,534.4
HOUR_APPR_PROCESS_START,425.8
CODE_GENDER_M,421.2
TOTALAREA_MODE,380.0
LANDAREA_MODE,271.0
BASEMENTAREA_MODE,252.4
LANDAREA_AVG,236.2
NAME_EDUCATION_TYPE_Higher education,231.8
NONLIVINGAREA_AVG,228.6
YEARS_BEGINEXPLUATATION_MODE,226.0
AMT_REQ_CREDIT_BUREAU_QRT,222.2
BASEMENTAREA_AVG,219.8
LIVINGAREA_MODE,217.8
APARTMENTS_MODE,216.8
OBS_30_CNT_SOCIAL_CIRCLE,213.8
NONLIVINGAREA_MODE,213.2
OBS_60_CNT_SOCIAL_CIRCLE,206.2
FLAG_DOCUMENT_3,195.4
LIVINGAREA_AVG,192.2
NAME_FAMILY_STATUS_Married,191.4
YEARS_BEGINEXPLUATATION_MEDI,188.6
LANDAREA_MEDI,187.0
YEARS_BEGINEXPLUATATION_AVG,180.2
COMMONAREA_MODE,179.6
BASEMENTAREA_MEDI,176.4
APARTMENTS_AVG,173.4
REGION_RATING_CLIENT_W_CITY,172.6
COMMONAREA_AVG,171.2
APARTMENTS_MEDI,167.6
LIVINGAREA_MEDI,166.2
COMMONAREA_MEDI,164.6
NAME_CONTRACT_TYPE_Revolving loans,161.8
FLAG_WORK_PHONE,161.6
DEF_30_CNT_SOCIAL_CIRCLE,158.6
NONLIVINGAREA_MEDI,150.0
NAME_INCOME_TYPE_Working,141.2
LIVINGAPARTMENTS_MODE,137.4
YEARS_BUILD_MODE,137.4
NAME_EDUCATION_TYPE_Secondary / secondary special,135.0
LIVINGAPARTMENTS_AVG,134.8
YEARS_BUILD_AVG,127.8
REG_CITY_NOT_LIVE_CITY,123.0
ENTRANCES_AVG,120.0
AMT_REQ_CREDIT_BUREAU_MON,118.2
DEF_60_CNT_SOCIAL_CIRCLE,111.2
LIVINGAPARTMENTS_MEDI,108.2
ORGANIZATION_TYPE_Self-employed,101.8
CNT_FAM_MEMBERS,100.8
FLOORSMAX_AVG,95.8
FLOORSMIN_AVG,92.0
NONLIVINGAPARTMENTS_AVG,90.6
CNT_CHILDREN,86.4
YEARS_BUILD_MEDI,82.0
ORGANIZATION_TYPE_Business Entity Type 3,81.6
FLAG_OWN_REALTY_Y,78.4
ENTRANCES_MODE,78.0
FLAG_PHONE,72.0
OCCUPATION_TYPE_Drivers,66.8
OCCUPATION_TYPE_Laborers,66.8
ENTRANCES_MEDI,59.8
ELEVATORS_AVG,59.8
ORGANIZATION_TYPE_Construction,59.8
