feature,importance
EXT_SOURCE_3,2279.6
EXT_SOURCE_2,2060.0
DAYS_BIRTH,1887.6
EXT_SOURCE_1,1775.2
AMT_ANNUITY,1550.6
AMT_CREDIT,1521.2
AMT_GOODS_PRICE,1280.4
DAYS_EMPLOYED,1237.8
DAYS_ID_PUBLISH,1213.4
DAYS_LAST_PHONE_CHANGE,1116.4
DAYS_REGISTRATION,1109.2
NEW_EXT_SOURCES_PROD,985.0
REGION_POPULATION_RELATIVE,785.0
AMT_INCOME_TOTAL,733.8
OWN_CAR_AGE,713.0
AMT_REQ_CREDIT_BUREAU_YEAR,526.6
HOUR_APPR_PROCESS_START,433.6
CODE_GENDER_M,407.8
TOTALAREA_MODE,383.4
LANDAREA_MODE,261.4
BASEMENTAREA_MODE,255.8
NAME_EDUCATION_TYPE_Higher education,223.4
LANDAREA_AVG,220.2
NONLIVINGAREA_AVG,219.4
AMT_REQ_CREDIT_BUREAU_QRT,219.0
APARTMENTS_MODE,218.4
BASEMENTAREA_AVG,218.2
LIVINGAREA_MODE,217.8
YEARS_BEGINEXPLUATATION_MODE,215.2
OBS_60_CNT_SOCIAL_CIRCLE,213.0
OBS_30_CNT_SOCIAL_CIRCLE,202.6
YEARS_BEGINEXPLUATATION_MEDI,197.4
FLAG_DOCUMENT_3,197.4
LANDAREA_MEDI,194.6
NONLIVINGAREA_MODE,193.8
COMMONAREA_MODE,191.2
NAME_FAMILY_STATUS_Married,188.8
BASEMENTAREA_MEDI,180.2
LIVINGAREA_AVG,177.0
APARTMENTS_AVG,171.2
LIVINGAREA_MEDI,170.4
COMMONAREA_AVG,168.0
REGION_RATING_CLIENT_W_CITY,167.8
YEARS_BEGINEXPLUATATION_AVG,167.6
APARTMENTS_MEDI,162.4
COMMONAREA_MEDI,160.6
NAME_CONTRACT_TYPE_Revolving loans,160.0
FLAG_WORK_PHONE,160.0
DEF_30_CNT_SOCIAL_CIRCLE,159.4
NONLIVINGAREA_MEDI,156.6
NAME_INCOME_TYPE_Working,142.6
YEARS_BUILD_MODE,139.0
LIVINGAPARTMENTS_AVG,136.0
NAME_EDUCATION_TYPE_Secondary / secondary special,134.8
LIVINGAPARTMENTS_MODE,130.0
ENTRANCES_AVG,124.0
YEARS_BUILD_AVG,122.6
REG_CITY_NOT_LIVE_CITY,117.6
AMT_REQ_CREDIT_BUREAU_MON,115.8
DEF_60_CNT_SOCIAL_CIRCLE,112.4
LIVINGAPARTMENTS_MEDI,109.0
CNT_FAM_MEMBERS,106.4
ORGANIZATION_TYPE_Self-employed,102.6
FLOORSMAX_AVG,98.4
NONLIVINGAPARTMENTS_AVG,98.2
FLOORSMIN_AVG,94.0
CNT_CHILDREN,81.0
YEARS_BUILD_MEDI,79.6
ORGANIZATION_TYPE_Business Entity Type 3,77.4
FLAG_PHONE,75.4
