feature,importance
NEW_CREDIT_TO_ANNUITY_RATIO,1227.6
NEW_EXT_SOURCES_MEAN,1169.6
DAYS_BIRTH,837.0
EXT_SOURCE_3,720.4
NEW_CREDIT_TO_GOODS_RATIO,685.8
EXT_SOURCE_2,681.6
AMT_ANNUITY,621.4
DAYS_EMPLOYED,596.4
NEW_EXT_SCORES_STD,564.2
DAYS_ID_PUBLISH,530.0
ACTIVE_DAYS_CREDIT_MEAN,525.6
EXT_SOURCE_1,517.6
INSTAL_DPD_MEAN,515.8
NEW_EMPLOY_TO_BIRTH_RATIO,505.2
DAYS_REGISTRATION,490.6
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,489.2
INSTAL_DAYS_ENTRY_PAYMENT_MAX,483.4
PREV_CNT_PAYMENT_MEAN,473.0
NEW_ANNUITY_TO_INCOME_RATIO,462.4
APPROVED_CNT_PAYMENT_MEAN,442.2
INSTAL_AMT_PAYMENT_SUM,434.8
NEW_EXT_SOURCE_2M3,421.4
NEW_PHONE_TO_BIRTH_RATIO_EMPLOYER,417.8
REGION_POPULATION_RELATIVE,417.0
INSTAL_DBD_SUM,405.8
ACTIVE_AMT_CREDIT_SUM_SUM,402.4
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,384.2
CLOSED_AMT_CREDIT_SUM_MEAN,367.2
INSTAL_AMT_PAYMENT_MIN,363.0
BURO_AMT_CREDIT_SUM_MEAN,361.4
PREV_APP_CREDIT_PERC_MEAN,357.0
APPROVED_DAYS_DECISION_MAX,356.6
POS_MONTHS_BALANCE_SIZE,355.0
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,354.8
AMT_GOODS_PRICE,352.2
NEW_CREDIT_TO_INCOME_RATIO,342.8
BURO_DAYS_CREDIT_ENDDATE_MEAN,340.8
CLOSED_AMT_CREDIT_SUM_SUM,339.6
CLOSED_DAYS_CREDIT_VAR,337.8
BURO_AMT_CREDIT_SUM_DEBT_MEAN,336.0
NEW_EXT_SOURCES_PROD,334.6
INSTAL_PAYMENT_DIFF_MEAN,334.4
INSTAL_DBD_MEAN,334.4
BURO_DAYS_CREDIT_MEAN,334.4
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,332.2
ACTIVE_DAYS_CREDIT_VAR,330.8
INSTAL_DBD_MAX,322.8
ACTIVE_AMT_CREDIT_SUM_MEAN,319.4
AMT_CREDIT,319.4
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,319.0
BURO_AMT_CREDIT_SUM_SUM,317.0
INSTAL_DAYS_ENTRY_PAYMENT_SUM,316.4
POS_MONTHS_BALANCE_MEAN,315.6
BURO_DAYS_CREDIT_VAR,313.6
PREV_DAYS_DECISION_MAX,309.8
CLOSED_DAYS_CREDIT_UPDATE_MEAN,305.6
PREV_AMT_ANNUITY_MEAN,303.8
NEW_EXT_SOURCE_1M2,301.8
APPROVED_CNT_PAYMENT_SUM,295.8
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,287.8
APPROVED_AMT_ANNUITY_MEAN,286.8
NEW_PHONE_TO_BIRTH_RATIO,284.6
INSTAL_PAYMENT_PERC_MEAN,278.2
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,265.6
CLOSED_DAYS_CREDIT_MEAN,258.6
PREV_HOUR_APPR_PROCESS_START_MEAN,258.0
BURO_DAYS_CREDIT_UPDATE_MEAN,249.6
NEW_CAR_TO_EMPLOY_RATIO,249.4
INSTAL_AMT_PAYMENT_MEAN,247.0
NEW_CAR_TO_BIRTH_RATIO,245.6
DAYS_LAST_PHONE_CHANGE,245.2
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,239.8
INSTAL_AMT_INSTALMENT_MAX,238.8
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,238.2
PREV_DAYS_DECISION_MEAN,238.2
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,237.0
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,232.2
APPROVED_APP_CREDIT_PERC_MEAN,232.0
APPROVED_AMT_DOWN_PAYMENT_MAX,231.2
NEW_INC_PER_CHLD,229.8
CODE_GENDER,225.2
INSTAL_AMT_PAYMENT_MAX,220.6
POS_SK_DPD_DEF_MEAN,218.0
APPROVED_HOUR_APPR_PROCESS_START_MEAN,217.8
PREV_NAME_YIELD_GROUP_high_MEAN,216.0
POS_MONTHS_BALANCE_MAX,215.4
AMT_INCOME_TOTAL,214.0
INSTAL_AMT_INSTALMENT_SUM,213.0
BURO_AMT_CREDIT_SUM_DEBT_SUM,212.6
APPROVED_DAYS_DECISION_MEAN,212.0
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,200.0
CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,198.6
PREV_AMT_DOWN_PAYMENT_MAX,191.6
INSTAL_PAYMENT_DIFF_VAR,190.2
PREV_RATE_DOWN_PAYMENT_MEAN,185.6
PREV_APP_CREDIT_PERC_MAX,184.8
APPROVED_AMT_CREDIT_MAX,182.4
PREV_AMT_CREDIT_MEAN,181.4
NEW_EXT_SOURCE_3M1,181.2
HOUR_APPR_PROCESS_START,175.2
